group_id,name,
1,académie,
1,addition,
1,administration,
1,affaire,
1,air,
1,ami,
1,appel,
1,arbre,
1,argent,
1,arrangement,
1,arrêt,
1,arrière ,
1,aspirateur,
1,attente,
1,augmentation,
1,autorisation,
1,avantage,
1,banque,
1,beauté,
1,bébé,
1,bien-être,
1,blâme,
1,bord,
1,bouche,
1,boucle,
1,calibre,
1,capacité,
1,carrière,
1,centre,
1,chaîne,
1,chaise,
1,chapeau,
1,chargement,
1,chemin,
1,collection,
1,compagnong,
1,compétition,
1,compte,
1,concept,
1,conséquence,
1,contact,
1,coquille,
1,coupure,
1,courant,
1,coût,
1,couverture,
1,culpabilité,
1,danse,
1,début ,
1,débutant,
1,déclaration,
1,découverte,
1,demande,
1,démocratie,
1,département,
1,développement,
1,devoir,
1,direction,
1,distinction,
1,docteur,
1,dossier,
1,drame,
1,échange,
1,échec,
1,école,
1,économie,
1,éducation,
1,émotion,
1,enthousiasme,
1,entrée,
1,envie,
1,épaisseur,
1,équilibre,
1,équipement,
1,esclavage,
1,esprit,
1,estimer,
1,étau,
1,étranger,
1,étudiant,
1,excitation,
1,exemple,
1,expansion,
1,extrême,
1,faible,
1,fait,
1,faute,
1,fenêtre,
1,fermeture,
1,fin,
1,finance,
1,fonction,
1,force,
1,formation,
1,forme,
1,frontière,
1,garniture,
1,gaspillage,
1,gauche,
1,genre,
1,geste,
1,gestion,
1,grade,
1,graine,
1,hausse,
1,herbe,
1,heure,
1,image,
1,impresison,
1,incident,
1,indépendance,
1,influence,
1,intérieur,
1,itinéraire,
1,kilogramme,
1,ligite,
1,machine,
1,mademoiselle,
1,maître,
1,mars,
1,matière,
1,méthode,
1,méthodique,
1,miel,
1,minute,
1,missile,
1,montant,
1,muscle,
1,nourriture,
1,noyau,
1,nuit,
1,objectif,
1,oeil,
1,ouest,
1,ours,
1,outil,
1,paradis,
1,passé,
1,peau,
1,personnel,
1,peur,
1,plâtre,
1,plongée,
1,pont,
1,portion,
1,pouce,
1,pouvoir,
1,préparation,
1,primaire,
1,prise,
1,prix,
1,production,
1,propension,
1,propriété,
1,qualité,
1,reflet,
1,réfrégirateur,
1,regard,
1,relation,
1,remplaçant,
1,république,
1,rêve,
1,revenu,
1,revêtement,
1,rôle,
1,roue,
1,ruée,
1,santé,
1,sauce,
1,savon,
1,second,
1,séjour,
1,sentiment,
1,sergent,
1,site,
1,socialiste,
1,solution,
1,symbole,
1,talent,
1,tasse,
1,téléphone,
1,tendance,
1,texte,
1,thème ,
1,théorie,
1,titre,
1,toit,
1,tracas,
1,tracteur,
1,transaction,
1,travailleur,
1,trou,
1,usine,
1,variété,
1,verre,
1,victoire,
1,vie,
1,ville,
1,volontaire,
1,vue,
2,accueil,
2,admission,
2,aide,
2,amende,
2,appareil,
2,apprenti ,
2,approvisionnement,
2,arrière-plan,
2,artisanat,
2,ascenseur,
2,aspect,
2,assemblée,
2,atome,
2,avion,
2,bain,
2,balle,
2,base,
2,bref,
2,brouillard,
2,bureau,
2,camping,
2,cause,
2,cave,
2,ceinture,
2,chance,
2,chemise,
2,choc,
2,clien,
2,clôture,
2,colère,
2,comédie,
2,condition,
2,confiance,
2,connaissance,
2,conseil,
2,constructeur,
2,construction,
2,contenu,
2,contract,
2,corps,
2,coton,
2,courbe,
2,course,
2,cousin,
2,crime,
2,crise,
2,curiosité,
2,dame,
2,défaite,
2,dénouement,
2,dépression,
2,descente,
2,dieu,
2,disposition,
2,dispute,
2,distance,
2,domaine,
2,domicile,
2,douleur,
2,écriture,
2,effet,
2,effort,
2,élégance,
2,élève,
2,emploi,
2,emprise,
2,enfant,
2,enfer,
2,engagement,
2,enquête,
2,entreprise,
2,équipe ,
2,espèces,
2,essai,
2,estimer,
2,exigence,
2,facilité,
2,facteur,
2,ferme ,
2,feutre,
2,fierté,
2,foire,
2,fond,
2,fourrure,
2,friandise,
2,fusil,
2,géant,
2,goût,
2,graphique,
2,groupe,
2,guérison,
2,haine,
2,harmonie,
2,idéal,
2,imagination,
2,impôt,
2,information ,
2,intention,
2,invention,
2,item,
2,jambe,
2,jet,
2,jupe,
2,légende,
2,liberté,
2,librairie,
2,liquide,
2,location,
2,magie,
2,majorité,
2,maladie,
2,masse,
2,mer,
2,mesure,
2,météo,
2,moment,
2,morceau,
2,mort,
2,mourant,
2,musique,
2,nez,
2,niveau,
2,note,
2,objet,
2,opportunité,
2,opposition,
2,origine,
2,os,
2,ouverture,
2,paire,
2,papier,
2,patron,
2,patte,
2,paysage,
2,peinture,
2,philosophie,
2,pied,
2,pistolet,
2,plaisir,
2,plan,
2,plate-forme,
2,plomb,
2,poésie,
2,poète,
2,poule,
2,poussière,
2,préjudice,
2,président,
2,pression,
2,preuve,
2,prince,
2,principal,
2,problème,
2,promotion,
2,propos,
2,propriétaire,
2,public,
2,quantité,
2,question,
2,rancune,
2,rapidité,
2,rappel,
2,réclamation,
2,reconnaissance,
2,réduction,
2,réponse,
2,résistance,
2,réunion,
2,rire,
2,rock,
2,royaume,
2,rupture,
2,salaire,
2,satisfaction,
2,sécurité,
2,sélection,
2,siècle,
2,situation,
2,soeur,
2,son,
2,souffle,
2,souper,
2,succès,
2,suspicion,
2,tante,
2,tape,
2,tension,
2,tentative,
2,tournure,
2,travail,
2,type,
2,unité,
2,urgence,
2,valeur,
2,vérité,
2,vision,
2,volume,
2,vote,
2,zéro,
2,zone,
